14035248,2024-04-03
17149232,2024-04-04
19154468,2024-04-05
20712735,2024-04-06
21819756,2024-04-07
22023612,2024-04-08
22280594,2024-04-09
22379134,2024-04-10
22397409,2024-04-11
22381782,2024-04-12
22500509,2024-04-13
22590096,2024-04-14
22653194,2024-04-15
22706098,2024-04-16
22763494,2024-04-17
22811482,2024-04-18
22859677,2024-04-19
22905410,2024-04-20
22944868,2024-04-21
22983570,2024-04-22
23011650,2024-04-23
23042781,2024-04-24
23087892,2024-04-25
23081136,2024-04-26
23126866,2024-04-27
23161659,2024-04-28
23190665,2024-04-29
23200342,2024-04-30
23151214,2024-05-01
23200673,2024-05-02
23251000,2024-05-03
23291423,2024-05-04
23270757,2024-05-05
23298925,2024-05-06
23306230,2024-05-07
23325650,2024-05-08
23346463,2024-05-09
23370576,2024-05-10
23390890,2024-05-11
23409755,2024-05-12
23426992,2024-05-13
23440627,2024-05-14
23457253,2024-05-15
23476916,2024-05-16
23499850,2024-05-17
23533559,2024-05-18
23533874,2024-05-19
23553946,2024-05-20
23566257,2024-05-21
23580149,2024-05-22
23610074,2024-05-23
23605103,2024-05-24
23625847,2024-05-25
23634026,2024-05-26
23645932,2024-05-27
23652719,2024-05-28
23687193,2024-05-29
23670044,2024-05-30
23704139,2024-05-31
23709227,2024-06-01
23726582,2024-06-02
23727744,2024-06-03
23739779,2024-06-04
23751268,2024-06-05
24824562,2024-06-06
25165286,2024-06-07
25311569,2024-06-08
25418341,2024-06-09
25502751,2024-06-10
25593472,2024-06-11
25649826,2024-06-12
25661933,2024-06-13
25696484,2024-06-14
25680778,2024-06-15
25720972,2024-06-16
25771827,2024-06-17
25729951,2024-06-18
25730827,2024-06-19
25804890,2024-06-20
25859581,2024-06-21
25862647,2024-06-22
25911054,2024-06-23
25948012,2024-06-24
25977806,2024-06-25
26027842,2024-06-26
26014670,2024-06-27
26016838,2024-06-28
26058255,2024-06-29
26086117,2024-06-30
26098116,2024-07-01
26102561,2024-07-02
26112495,2024-07-03
26124705,2024-07-04
26138650,2024-07-05
26153112,2024-07-06
26161088,2024-07-07
26180265,2024-07-08
26191031,2024-07-09
26214221,2024-07-10
26239335,2024-07-11
26192483,2024-07-12
26207693,2024-07-13
26214739,2024-07-14
26124211,2024-07-15
26061645,2024-07-16
26033102,2024-07-17
26056261,2024-07-18
26078794,2024-07-19
26095791,2024-07-20
26110536,2024-07-21
26112781,2024-07-22
26136053,2024-07-23
26136872,2024-07-24
26146114,2024-07-25
26167585,2024-07-26
26197295,2024-07-27
26039997,2024-07-28
26089975,2024-07-29
26107700,2024-07-30
26123540,2024-07-31
26133784,2024-08-01
26195883,2024-08-02
26217091,2024-08-03
26243809,2024-08-04
26230319,2024-08-05
26241856,2024-08-06
26252577,2024-08-07
26256941,2024-08-08
26291810,2024-08-09
2382726,2024-08-10
13746371,2024-08-11
26269910,2024-08-12
26253410,2024-08-13
26259508,2024-08-14
26261273,2024-08-15
26288688,2024-08-16
26314925,2024-08-17
26270443,2024-08-18
26282985,2024-08-19
26275125,2024-08-20
26303836,2024-08-21
26319954,2024-08-22
2411214,2024-08-23
26340864,2024-08-24
26353343,2024-08-25
26365638,2024-08-26
26383622,2024-08-27
26340803,2024-08-28
26387939,2024-08-29
26408787,2024-08-30
26428532,2024-08-31
26444035,2024-09-01
26447978,2024-09-02
26461480,2024-09-03
26466327,2024-09-04
25859169,2024-09-05
25987600,2024-09-06
25972730,2024-09-07
25382787,2024-09-08
25611510,2024-09-09
25689668,2024-09-10
25765098,2024-09-11
25800239,2024-09-12
25775341,2024-09-13
25790542,2024-09-14
25804902,2024-09-15
25798492,2024-09-16
25814311,2024-09-17
25793022,2024-09-18
25724058,2024-09-19
25740785,2024-09-20
25761655,2024-09-21
25702503,2024-09-22
25706985,2024-09-23
25694997,2024-09-24
25674384,2024-09-25
25655970,2024-09-26
25650365,2024-09-27
25648593,2024-09-28
25638606,2024-09-29
25624043,2024-09-30
25621012,2024-10-01
25579942,2024-10-02
25584569,2024-10-03
25568324,2024-10-04
25603987,2024-10-05
25605292,2024-10-06
25586842,2024-10-07
25625079,2024-10-08
25574578,2024-10-09
25526512,2024-10-10
25530174,2024-10-11
25533078,2024-10-12
25530228,2024-10-13
25520870,2024-10-14
25545538,2024-10-15
25549800,2024-10-16
25498482,2024-10-17
25483717,2024-10-18
25491363,2024-10-19
25501332,2024-10-20
25473643,2024-10-21
25461315,2024-10-22
25451540,2024-10-23
25439981,2024-10-24
25450909,2024-10-25
25452708,2024-10-26
25416009,2024-10-27
25409133,2024-10-28
25399879,2024-10-29
25379262,2024-10-30
24881582,2024-10-31
24958290,2024-11-01
25049650,2024-11-02
25095250,2024-11-03
25109961,2024-11-04
25117981,2024-11-05
25139338,2024-11-06
25122987,2024-11-07
25118274,2024-11-08
25143249,2024-11-09
25167234,2024-11-10
2057063,2024-11-11
25236135,2024-11-12
25195006,2024-11-13
25200811,2024-11-14
25214376,2024-11-15
25222183,2024-11-16
25165208,2024-11-17
25184910,2024-11-18
25178962,2024-11-19
24837746,2024-11-20
24871071,2024-11-21
24871468,2024-11-22
24860953,2024-11-23
24862021,2024-11-24
24863232,2024-11-25
24408271,2024-11-26
24503430,2024-11-27
24490527,2024-11-28
24348381,2024-11-29
24437235,2024-11-30
24415851,2024-12-01
24451608,2024-12-02
24481317,2024-12-03
24467453,2024-12-04
24473611,2024-12-05
24513822,2024-12-06
24519077,2024-12-07
24534720,2024-12-08
24531287,2024-12-09
24535111,2024-12-10
24535721,2024-12-11
24547973,2024-12-12
24539719,2024-12-13
24552871,2024-12-14
24554874,2024-12-15
24550436,2024-12-16
24532252,2024-12-17
24525555,2024-12-18
24511887,2024-12-19
24516642,2024-12-20
24516089,2024-12-21
24536098,2024-12-22
24538473,2024-12-23
24495379,2024-12-24
24487678,2024-12-25
24483644,2024-12-26
24461925,2024-12-27
24466374,2024-12-28
24469293,2024-12-29
24462282,2024-12-30
24455993,2024-12-31
24452762,2025-01-01
24436787,2025-01-02
24425423,2025-01-03
24397266,2025-01-04
24407107,2025-01-05
24389722,2025-01-06
24384637,2025-01-07
24411463,2025-01-08
24368363,2025-01-09
24363625,2025-01-10
24357494,2025-01-11
24346059,2025-01-12
24319088,2025-01-13
24322568,2025-01-14
24272920,2025-01-15
24262637,2025-01-16
24217600,2025-01-17
24176626,2025-01-18
24166592,2025-01-19
24064714,2025-01-20
24101117,2025-01-21
24092867,2025-01-22
24097440,2025-01-23
24116626,2025-01-24
23238700,2025-01-25
23444485,2025-01-26
23583593,2025-01-27
23655936,2025-01-28
23727122,2025-01-29
23745333,2025-01-30
23797079,2025-01-31
23785979,2025-02-01
23810932,2025-02-02
23818903,2025-02-03
