20793510,2023-12-03
20809756,2023-12-04
20823909,2023-12-05
20995707,2023-12-06
21014016,2023-12-07
9680359,2023-12-08
21163422,2023-12-10
21166461,2023-12-11
21191431,2023-12-12
21288434,2023-12-13
21293251,2023-12-14
21312674,2023-12-15
21329472,2023-12-16
21467559,2023-12-17
21452226,2023-12-18
21523320,2023-12-19
233493,2023-12-20
17955491,2023-12-21
18721122,2023-12-22
19206993,2023-12-23
19406970,2023-12-24
19522789,2023-12-25
19587066,2023-12-26
19636053,2023-12-27
19671710,2023-12-28
19698047,2023-12-29
19721501,2023-12-30
19740259,2023-12-31
20142131,2024-01-01
20239242,2024-01-02
20377410,2024-01-03
20456023,2024-01-04
20530840,2024-01-05
20600969,2024-01-06
20675155,2024-01-07
20742842,2024-01-08
20794399,2024-01-09
20828372,2024-01-10
20885210,2024-01-11
20956137,2024-01-12
20990327,2024-01-13
21047045,2024-01-14
20800980,2024-01-15
20896471,2024-01-16
20965683,2024-01-17
21057623,2024-01-18
21106330,2024-01-19
21167292,2024-01-20
21220922,2024-01-21
21276588,2024-01-22
21324023,2024-01-23
21344087,2024-01-24
21403798,2024-01-25
21423392,2024-01-26
21484784,2024-01-27
21530829,2024-01-28
21569657,2024-01-29
21578781,2024-01-30
21635138,2024-01-31
21688388,2024-02-01
21726124,2024-02-02
21760664,2024-02-03
21794611,2024-02-04
21827331,2024-02-05
21835805,2024-02-06
21906133,2024-02-07
21935108,2024-02-08
21968015,2024-02-09
22012072,2024-02-10
22041567,2024-02-11
22055375,2024-02-12
22069870,2024-02-13
22147366,2024-02-14
22156437,2024-02-15
22150674,2024-02-16
22238593,2024-02-17
22278570,2024-02-18
15988001,2024-02-19
22326572,2024-02-20
22333623,2024-02-21
22415293,2024-02-22
22409078,2024-02-23
22437827,2024-02-24
22480091,2024-02-25
22520613,2024-02-26
22542297,2024-02-27
22542475,2024-02-28
22595622,2024-02-29
22586294,2024-03-01
22621003,2024-03-02
22620758,2024-03-03
22633133,2024-03-04
22734648,2024-03-05
22734627,2024-03-06
22770369,2024-03-07
22796806,2024-03-08
22804551,2024-03-09
22895247,2024-03-10
16974120,2024-03-11
17799794,2024-03-12
18256031,2024-03-13
18040421,2024-03-14
17027934,2024-03-15
17918537,2024-03-16
17186259,2024-03-17
18026080,2024-03-18
17681043,2024-03-19
18152453,2024-03-20
17761404,2024-03-21
17443024,2024-03-22
17635946,2024-03-23
18692071,2024-03-24
18248118,2024-03-25
17571515,2024-03-26
18391232,2024-03-27
17944151,2024-03-28
17729850,2024-03-29
18031223,2024-03-30
18528706,2024-03-31
17073682,2024-04-01
17922672,2024-04-02
23648115,2024-04-03
23694333,2024-04-04
23682643,2024-04-05
23692628,2024-04-06
23701427,2024-04-07
23708353,2024-04-08
23715610,2024-04-09
23722783,2024-04-10
23728815,2024-04-11
23762126,2024-04-12
23826834,2024-04-13
23872100,2024-04-14
23909210,2024-04-15
23944228,2024-04-16
23975664,2024-04-17
24002092,2024-04-18
24030693,2024-04-19
24062218,2024-04-20
24092581,2024-04-21
24108893,2024-04-22
24132781,2024-04-23
24159582,2024-04-24
24192560,2024-04-25
24219759,2024-04-26
24236719,2024-04-27
24248069,2024-04-28
24255292,2024-04-29
24281085,2024-04-30
24309859,2024-05-01
24346350,2024-05-02
24374358,2024-05-03
24388793,2024-05-04
24421957,2024-05-05
24452958,2024-05-06
24474250,2024-05-07
24497982,2024-05-08
24490373,2024-05-09
24522492,2024-05-10
24544936,2024-05-11
24576022,2024-05-12
24599858,2024-05-13
24613927,2024-05-14
24635337,2024-05-15
24632862,2024-05-16
24664452,2024-05-17
24690690,2024-05-18
24721605,2024-05-19
24745993,2024-05-20
24766314,2024-05-21
24785617,2024-05-22
24807624,2024-05-23
24834097,2024-05-24
24866077,2024-05-25
24891271,2024-05-26
24910639,2024-05-27
24930185,2024-05-28
24944021,2024-05-29
24965013,2024-05-30
24994232,2024-05-31
25028017,2024-06-01
25058848,2024-06-02
25073650,2024-06-03
25095875,2024-06-04
25117110,2024-06-05
25743218,2024-06-06
25867760,2024-06-07
26023607,2024-06-08
26126275,2024-06-09
26210686,2024-06-10
26213475,2024-06-11
26304107,2024-06-12
26332344,2024-06-13
26347129,2024-06-14
26367531,2024-06-15
26390435,2024-06-16
26487369,2024-06-17
26522289,2024-06-18
26542394,2024-06-19
26654820,2024-06-20
26758982,2024-06-21
26852010,2024-06-22
26952850,2024-06-23
27036639,2024-06-24
27113992,2024-06-25
27191496,2024-06-26
27263597,2024-06-27
27362568,2024-06-28
27459556,2024-06-29
9305429,2024-06-30
27478526,2024-07-01
27527771,2024-07-02
27581009,2024-07-03
27632871,2024-07-04
27693635,2024-07-05
27757695,2024-07-06
27823305,2024-07-07
27898758,2024-07-08
27956414,2024-07-09
28020730,2024-07-10
28074362,2024-07-11
28149556,2024-07-12
28231052,2024-07-13
28303129,2024-07-14
28349921,2024-07-15
28380656,2024-07-16
28413451,2024-07-17
28475252,2024-07-18
28546075,2024-07-19
28616389,2024-07-20
28691761,2024-07-21
28758875,2024-07-22
28826797,2024-07-23
28888880,2024-07-24
28963652,2024-07-25
29037378,2024-07-26
29100244,2024-07-27
29177005,2024-07-28
29252369,2024-07-29
29326778,2024-07-30
29399172,2024-07-31
29455570,2024-08-01
29778007,2024-08-02
29975660,2024-08-03
30154690,2024-08-04
30316021,2024-08-05
30451637,2024-08-06
30583325,2024-08-07
30719522,2024-08-08
30840242,2024-08-09
4800470,2024-08-10
4770950,2024-08-11
31130632,2024-08-12
31232939,2024-08-13
31344901,2024-08-14
31461394,2024-08-15
31573461,2024-08-16
31673128,2024-08-17
31779710,2024-08-18
31874932,2024-08-19
31978077,2024-08-20
32065452,2024-08-21
32140977,2024-08-22
5936915,2024-08-23
32251307,2024-08-24
32335316,2024-08-25
32413466,2024-08-26
32498497,2024-08-27
32568324,2024-08-28
32655824,2024-08-29
32726625,2024-08-30
32799946,2024-08-31
32870462,2024-09-01
32937840,2024-09-02
33007147,2024-09-03
33068695,2024-09-04
32888708,2024-09-05
33042257,2024-09-06
33163301,2024-09-07
33130327,2024-09-08
33343571,2024-09-09
33420236,2024-09-10
33491109,2024-09-11
33553806,2024-09-12
33624559,2024-09-13
33691681,2024-09-14
33737921,2024-09-15
33815967,2024-09-16
33874016,2024-09-17
33919746,2024-09-18
33962583,2024-09-19
34013528,2024-09-20
34056312,2024-09-21
34118195,2024-09-22
34154619,2024-09-23
34192003,2024-09-24
34237462,2024-09-25
34282831,2024-09-26
34341636,2024-09-27
34401608,2024-09-28
34467962,2024-09-29
34514718,2024-09-30
34565519,2024-10-01
34606349,2024-10-02
33219838,2024-10-03
33221893,2024-10-04
33357346,2024-10-05
