14035254,2024-04-03
17182993,2024-04-04
19205205,2024-04-05
20766886,2024-04-06
21873618,2024-04-07
22078458,2024-04-08
22335574,2024-04-09
22440287,2024-04-10
22464773,2024-04-11
22742619,2024-04-12
22923522,2024-04-13
23052463,2024-04-14
23160937,2024-04-15
23260423,2024-04-16
23351242,2024-04-17
23438083,2024-04-18
23520339,2024-04-19
23599898,2024-04-20
23678506,2024-04-21
23753692,2024-04-22
23826275,2024-04-23
23897175,2024-04-24
23939558,2024-04-25
24015399,2024-04-26
24057422,2024-04-27
24088865,2024-04-28
24115834,2024-04-29
24177302,2024-04-30
24291320,2024-05-01
24372366,2024-05-02
24430519,2024-05-03
24466855,2024-05-04
24549470,2024-05-05
24614945,2024-05-06
24677194,2024-05-07
24735598,2024-05-08
24794913,2024-05-09
24851071,2024-05-10
24904656,2024-05-11
24958293,2024-05-12
25012352,2024-05-13
25064285,2024-05-14
25115774,2024-05-15
25167837,2024-05-16
25218205,2024-05-17
25259217,2024-05-18
25314569,2024-05-19
25365169,2024-05-20
25416149,2024-05-21
25464128,2024-05-22
25501706,2024-05-23
25553516,2024-05-24
25603265,2024-05-25
25649864,2024-05-26
25695635,2024-05-27
25742105,2024-05-28
25769399,2024-05-29
25824289,2024-05-30
25870227,2024-05-31
25921865,2024-06-01
25967567,2024-06-02
26012547,2024-06-03
26055817,2024-06-04
26098243,2024-06-05
27191798,2024-06-06
27572536,2024-06-07
27752377,2024-06-08
27894053,2024-06-09
28015065,2024-06-10
28117308,2024-06-11
28216506,2024-06-12
28307700,2024-06-13
28380098,2024-06-14
28456639,2024-06-15
28530402,2024-06-16
28616541,2024-06-17
28698272,2024-06-18
28765924,2024-06-19
28832435,2024-06-20
28895387,2024-06-21
28957655,2024-06-22
29019743,2024-06-23
29078836,2024-06-24
29138688,2024-06-25
29179977,2024-06-26
29242715,2024-06-27
29301506,2024-06-28
29358212,2024-06-29
29411034,2024-06-30
29458339,2024-07-01
29501086,2024-07-02
29542007,2024-07-03
29583998,2024-07-04
29628393,2024-07-05
29671038,2024-07-06
29713693,2024-07-07
29759134,2024-07-08
29802532,2024-07-09
29838413,2024-07-10
29865321,2024-07-11
29922395,2024-07-12
29969450,2024-07-13
30014029,2024-07-14
30063431,2024-07-15
30113255,2024-07-16
30158497,2024-07-17
30203525,2024-07-18
30246687,2024-07-19
30293822,2024-07-20
30337655,2024-07-21
30379314,2024-07-22
30414932,2024-07-23
30460155,2024-07-24
30503695,2024-07-25
30539345,2024-07-26
30563422,2024-07-27
30619204,2024-07-28
30664983,2024-07-29
30707843,2024-07-30
30747667,2024-07-31
30787571,2024-08-01
30855100,2024-08-02
30908370,2024-08-03
30954566,2024-08-04
31008240,2024-08-05
31055485,2024-08-06
31102518,2024-08-07
31149373,2024-08-08
31179235,2024-08-09
31187335,2024-08-10
31215926,2024-08-11
31295288,2024-08-12
31341574,2024-08-13
31386681,2024-08-14
31431878,2024-08-15
31469158,2024-08-16
31495061,2024-08-17
31552458,2024-08-18
31592122,2024-08-19
31627890,2024-08-20
31653115,2024-08-21
31672613,2024-08-22
31676961,2024-08-23
