22056065,2023-12-03
22072540,2023-12-04
22086836,2023-12-05
22263258,2023-12-06
22360720,2023-12-07
22405115,2023-12-08
22538532,2023-12-10
22581991,2023-12-11
22606848,2023-12-12
22702597,2023-12-13
22730991,2023-12-14
22749697,2023-12-15
22766209,2023-12-16
22901831,2023-12-17
22936520,2023-12-18
23007339,2023-12-19
23010782,2023-12-20
23213523,2023-12-21
23268431,2023-12-22
23334444,2023-12-23
23358695,2023-12-24
23375896,2023-12-25
23390272,2023-12-26
23403784,2023-12-27
23415904,2023-12-28
23426323,2023-12-29
23437691,2023-12-30
23447116,2023-12-31
23632839,2024-01-01
23735582,2024-01-02
23831327,2024-01-03
23906381,2024-01-04
23967558,2024-01-05
24025310,2024-01-06
24082037,2024-01-07
24135699,2024-01-08
24182230,2024-01-09
24218827,2024-01-10
24269236,2024-01-11
24335216,2024-01-12
24392040,2024-01-13
24443589,2024-01-14
24493372,2024-01-15
24532998,2024-01-16
24567147,2024-01-17
24629738,2024-01-18
24684781,2024-01-19
24736823,2024-01-20
24786581,2024-01-21
24833259,2024-01-22
24877966,2024-01-23
24902178,2024-01-24
24954720,2024-01-25
24990583,2024-01-26
25042186,2024-01-27
25093546,2024-01-28
25135964,2024-01-29
25153172,2024-01-30
25197207,2024-01-31
25256406,2024-02-01
25309559,2024-02-02
25356487,2024-02-03
25402525,2024-02-04
25436013,2024-02-05
25451293,2024-02-06
25508488,2024-02-07
25557016,2024-02-08
25602408,2024-02-09
25650492,2024-02-10
25686200,2024-02-11
25702866,2024-02-12
25716669,2024-02-13
25779812,2024-02-14
25833395,2024-02-15
25852897,2024-02-16
25924512,2024-02-17
25978652,2024-02-18
26007514,2024-02-19
26030733,2024-02-20
26050122,2024-02-21
26116098,2024-02-22
26167813,2024-02-23
26214473,2024-02-24
26261742,2024-02-25
26303940,2024-02-26
26343819,2024-02-27
26360552,2024-02-28
26404288,2024-02-29
26421381,2024-03-01
26451320,2024-03-02
26463691,2024-03-03
26476128,2024-03-04
26562841,2024-03-05
26623360,2024-03-06
26671636,2024-03-07
26716309,2024-03-08
26740425,2024-03-09
26820326,2024-03-10
26857111,2024-03-11
26890000,2024-03-12
26906305,2024-03-13
26954392,2024-03-14
27003048,2024-03-15
27028782,2024-03-16
27042674,2024-03-17
27052788,2024-03-18
27103722,2024-03-19
27172193,2024-03-20
27215962,2024-03-21
27258238,2024-03-22
27299732,2024-03-23
27341792,2024-03-24
27378709,2024-03-25
27414752,2024-03-26
27452206,2024-03-27
27491769,2024-03-28
27525141,2024-03-29
27554289,2024-03-30
27600116,2024-03-31
27641206,2024-04-01
27673405,2024-04-02
41760067,2024-04-03
44964163,2024-04-04
46998373,2024-04-05
48568384,2024-04-06
49683016,2024-04-07
49894426,2024-04-08
50158607,2024-04-09
50271023,2024-04-10
50301270,2024-04-11
50705178,2024-04-12
50955969,2024-04-13
51131890,2024-04-14
51284480,2024-04-15
51428484,2024-04-16
51557529,2024-04-17
51680959,2024-04-18
51800164,2024-04-19
51916536,2024-04-20
52030192,2024-04-21
52138518,2024-04-22
52245065,2024-04-23
52348417,2024-04-24
52423830,2024-04-25
52537547,2024-04-26
52594407,2024-04-27
52636158,2024-04-28
52670291,2024-04-29
52763916,2024-04-30
52946940,2024-05-01
53069955,2024-05-02
53157607,2024-05-03
53206530,2024-05-04
53346057,2024-05-05
53450590,2024-05-06
53546029,2024-05-07
53640091,2024-05-08
53732284,2024-05-09
53822191,2024-05-10
53908860,2024-05-11
53995476,2024-05-12
54080565,2024-05-13
54161868,2024-05-14
54244207,2024-05-15
54330381,2024-05-16
54417375,2024-05-17
54484987,2024-05-18
54578907,2024-05-19
54662665,2024-05-20
54744973,2024-05-21
54822718,2024-05-22
54883748,2024-05-23
54977269,2024-05-24
55063126,2024-05-25
55143734,2024-05-26
55222392,2024-05-27
55298984,2024-05-28
55337551,2024-05-29
55437544,2024-05-30
55523471,2024-05-31
55612476,2024-06-01
55692630,2024-06-02
55770453,2024-06-03
55845266,2024-06-04
55917691,2024-06-05
57648733,2024-06-06
58158890,2024-06-07
58502117,2024-06-08
58751999,2024-06-09
58971034,2024-06-10
59158663,2024-06-11
59349359,2024-06-12
59516416,2024-06-13
59661855,2024-06-14
59796833,2024-06-15
59936636,2024-06-16
60165109,2024-06-17
60356515,2024-06-18
60514516,2024-06-19
60676879,2024-06-20
60836891,2024-06-21
60996644,2024-06-22
61155256,2024-06-23
61306331,2024-06-24
61460072,2024-06-25
61574876,2024-06-26
61748973,2024-06-27
61910655,2024-06-28
62068983,2024-06-29
62190046,2024-06-30
62343086,2024-07-01
62440596,2024-07-02
62538177,2024-07-03
62646137,2024-07-04
62752973,2024-07-05
62856858,2024-07-06
62964635,2024-07-07
63090182,2024-07-08
63208104,2024-07-09
63312988,2024-07-10
63396604,2024-07-11
63552201,2024-07-12
63680216,2024-07-13
63806990,2024-07-14
63938716,2024-07-15
64075379,2024-07-16
64193216,2024-07-17
64308826,2024-07-18
64428550,2024-07-19
64558107,2024-07-20
64685232,2024-07-21
64805298,2024-07-22
64910358,2024-07-23
65037003,2024-07-24
65164514,2024-07-25
65275267,2024-07-26
65359642,2024-07-27
65519912,2024-07-28
65658365,2024-07-29
65783788,2024-07-30
65904663,2024-07-31
66025179,2024-08-01
66414417,2024-08-02
66673014,2024-08-03
66907260,2024-08-04
67133615,2024-08-05
67337945,2024-08-06
67532049,2024-08-07
67730935,2024-08-08
67886991,2024-08-09
67981352,2024-08-10
68041964,2024-08-11
68332454,2024-08-12
68522879,2024-08-13
68699774,2024-08-14
68881525,2024-08-15
69045797,2024-08-16
69173580,2024-08-17
69375498,2024-08-18
69528581,2024-08-19
69669803,2024-08-20
69797982,2024-08-21
69907998,2024-08-22
69980400,2024-08-23
